paper_id	publication_year
1	2018
2	2018
3	2018
4	2018
5	2018
6	2018
7	2018
8	2018
9	2018
10	2018
11	2018
12	2018
13	2018
14	2018
15	2018
16	2018
17	2018
18	2018
19	2018
20	2018
21	2018
22	2018
23	2018
24	2018
25	2018
26	2018
27	2018
28	2018
29	2018
30	2018
31	2018
32	2018
33	2018
34	2018
35	2018
36	2018
37	2018
38	2018
39	2018
40	2018
41	2018
42	2018
43	2018
44	2018
45	2018
46	2018
47	2018
48	2018
49	2018
50	2018
51	2018
52	2018
53	2018
54	2018
55	2018
56	2018
57	2018
58	2018
59	2018
60	2018
61	2018
62	2018
63	2018
64	2018
65	2018
66	2018
67	2018
68	2018
69	2018
70	2018
71	2018
72	2018
73	2018
74	2018
75	2018
76	2018
77	2018
78	2018
79	2018
80	2018
81	2018
82	2018
83	2018
84	2018
85	2018
86	2018
87	2018
88	2018
89	2018
90	2018
91	2018
92	2018
93	2018
94	2018
95	2018
96	2018
97	2018
98	2018
99	2018
100	2018
101	2018
102	2018
103	2018
104	2018
105	2018
106	2018
107	2018
108	2018
109	2018
110	2018
111	2018
112	2018
113	2018
114	2018
115	2018
116	2018
117	2018
118	2018
119	2018
120	2018
121	2018
122	2018
123	2018
124	2018
125	2018
126	2018
127	2018
128	2018
129	2018
130	2018
131	2018
132	2018
133	2018
134	2018
135	2018
136	2018
137	2018
138	2018
139	2018
140	2018
141	2018
142	2018
143	2018
144	2018
145	2018
146	2018
147	2018
148	2018
149	2018
150	2018
151	2018
152	2018
153	2018
154	2018
155	2018
156	2018
157	2018
158	2018
159	2018
160	2018
161	2018
162	2018
163	2018
164	2018
165	2018
166	2018
167	2018
168	2018
169	2018
170	2018
171	2018
172	2018
173	2018
174	2018
175	2018
176	2018
177	2018
178	2018
179	2018
180	2018
181	2018
182	2018
183	2018
184	2018
185	2018
186	2018
187	2018
188	2018
189	2018
190	2018
191	2018
192	2018
193	2018
194	2018
195	2018
196	2018
197	2018
198	2018
199	2018
200	2018
201	2018
202	2018
203	2018
204	2018
205	2018
206	2018
207	2018
208	2018
209	2018
210	2018
211	2018
212	2018
213	2018
214	2018
215	2018
216	2018
217	2018
218	2018
219	2018
220	2018
221	2018
222	2018
223	2018
224	2018
225	2018
226	2018
227	2018
228	2018
229	2018
230	2018
231	2018
232	2018
233	2018
234	2018
235	2018
236	2018
237	2018
238	2018
239	2018
240	2018
241	2018
242	2018
243	2018
244	2018
245	2018
246	2018
247	2018
248	2018
249	2018
250	2018
251	2018
252	2018
253	2018
254	2018
255	2018
256	2018
257	2018
258	2018
259	2018
260	2018
261	2018
262	2018
263	2018
264	2018
265	2018
266	2018
267	2018
268	2018
269	2018
270	2018
271	2018
272	2018
273	2018
274	2018
275	2018
276	2018
277	2018
278	2018
279	2018
280	2018
281	2018
282	2018
283	2018
284	2018
285	2018
286	2018
287	2018
288	2018
289	2018
290	2018
291	2018
292	2018
293	2018
294	2018
295	2018
296	2018
297	2018
298	2018
299	2018
300	2018
301	2018
302	2018
303	2018
304	2018
305	2018
306	2018
307	2018
308	2018
309	2018
310	2018
311	2018
312	2018
313	2018
314	2018
315	2018
316	2018
317	2018
318	2018
319	2018
320	2018
321	2018
322	2018
323	2018
324	2018
325	2018
326	2018
327	2018
328	2018
329	2018
330	2018
331	2018
332	2018
333	2018
334	2018
335	2018
336	2018
337	2018
338	2018
339	2018
340	2018
341	2018
342	2018
343	2018
344	2018
345	2018
346	2018
347	2018
348	2018
349	2018
350	2018
351	2018
352	2018
353	2018
354	2018
355	2018
356	2018
357	2018
358	2018
359	2018
360	2018
361	2018
362	2018
363	2018
364	2018
365	2018
366	2018
367	2018
368	2018
369	2018
370	2018
371	2018
372	2018
373	2018
374	2018
375	2018
376	2018
377	2018
378	2018
379	2018
380	2018
381	2018
382	2018
383	2018
384	2018
385	2018
386	2018
387	2018
388	2018
389	2018
390	2018
391	2018
392	2018
393	2018
394	2018
395	2018
396	2018
397	2018
398	2018
399	2018
400	2018
401	2018
402	2018
403	2018
404	2018
405	2018
406	2018
407	2018
408	2018
409	2018
410	2018
411	2018
412	2018
413	2018
414	2018
415	2018
416	2018
417	2018
418	2018
419	2018
420	2018
421	2018
422	2018
423	2018
424	2018
425	2018
426	2018
427	2018
428	2018
429	2018
430	2018
431	2018
432	2018
433	2018
434	2018
435	2018
436	2018
437	2018
438	2018
439	2018
440	2018
441	2018
442	2018
443	2018
444	2018
445	2018
446	2018
447	2018
448	2018
449	2018
450	2018
451	2018
452	2018
453	2018
454	2018
455	2018
456	2018
457	2018
458	2018
459	2018
460	2018
461	2018
462	2018
463	2018
464	2018
465	2018
466	2018
467	2018
468	2018
469	2018
470	2018
471	2018
472	2018
473	2018
474	2018
475	2018
476	2018
477	2018
478	2018
479	2018
480	2018
481	2018
482	2018
483	2018
484	2018
485	2018
486	2018
487	2018
488	2018
489	2018
490	2018
491	2018
492	2018
493	2018
494	2018
495	2018
496	2018
497	2018
498	2018
499	2018
500	2018
501	2018
502	2018
503	2018
504	2018
505	2018
506	2018
507	2018
508	2018
509	2018
510	2018
511	2018
512	2018
513	2018
514	2018
515	2018
516	2018
517	2018
518	2018
519	2018
520	2018
521	2018
522	2018
523	2018
524	2018
525	2018
526	2018
527	2018
528	2018
529	2018
530	2018
531	2018
532	2018
533	2018
534	2018
535	2018
536	2018
537	2018
538	2018
539	2018
540	2018
541	2018
542	2018
543	2018
544	2018
545	2018
546	2018
547	2018
548	2018
549	2018
550	2018
551	2018
552	2018
553	2018
554	2018
555	2018
556	2018
557	2018
558	2018
559	2018
560	2018
561	2018
562	2018
563	2018
564	2018
565	2018
566	2018
567	2018
568	2018
569	2018
570	2018
571	2018
572	2018
573	2018
574	2018
575	2018
576	2018
577	2018
578	2018
579	2018
580	2018
581	2018
582	2018
583	2018
584	2018
585	2018
586	2018
587	2018
588	2018
589	2018
590	2018
591	2018
592	2018
593	2018
594	2018
595	2018
596	2018
597	2018
598	2018
599	2018
600	2018
601	2018
602	2018
603	2018
604	2018
605	2018
606	2018
607	2018
608	2018
609	2018
610	2018
611	2018
612	2018
613	2018
614	2018
615	2018
616	2018
617	2018
618	2018
619	2018
620	2018
621	2018
622	2018
623	2018
624	2018
625	2018
626	2018
627	2018
628	2018
629	2018
630	2018
631	2018
632	2018
633	2018
634	2018
635	2018
636	2018
637	2018
638	2018
639	2018
640	2018
641	2018
642	2018
643	2018
644	2018
645	2018
646	2018
647	2018
648	2018
649	2018
650	2018
651	2018
652	2018
653	2018
654	2018
655	2018
656	2018
657	2018
658	2018
659	2018
660	2018
661	2018
662	2018
663	2018
664	2018
665	2018
666	2018
667	2017
668	2017
669	2017
670	2017
671	2017
672	2017
673	2017
674	2017
675	2017
676	2017
677	2017
678	2017
679	2017
680	2017
681	2017
682	2017
683	2017
684	2017
685	2017
686	2017
687	2017
688	2017
689	2017
690	2017
691	2017
692	2017
693	2017
694	2017
695	2017
696	2017
697	2017
698	2017
699	2017
700	2017
701	2017
702	2017
703	2017
704	2017
705	2017
706	2017
707	2017
708	2017
709	2017
710	2017
711	2017
712	2017
713	2017
714	2017
715	2017
716	2017
717	2017
718	2017
719	2017
720	2017
721	2017
722	2017
723	2017
724	2017
725	2017
726	2017
727	2017
728	2017
729	2017
730	2017
731	2017
732	2017
733	2017
734	2017
735	2017
736	2017
737	2017
738	2017
739	2017
740	2017
741	2017
742	2017
743	2017
744	2017
745	2017
746	2017
747	2017
748	2017
749	2017
750	2017
751	2017
752	2017
753	2017
754	2017
755	2017
756	2017
757	2017
758	2017
759	2017
760	2017
761	2017
762	2017
763	2017
764	2017
765	2017
766	2017
767	2017
768	2017
769	2017
770	2017
771	2017
772	2017
773	2017
774	2017
775	2017
776	2017
777	2017
778	2017
779	2017
780	2017
781	2017
782	2017
783	2017
784	2017
785	2017
786	2017
787	2017
788	2017
789	2017
790	2017
791	2017
792	2017
793	2017
794	2017
795	2017
796	2017
797	2017
798	2017
799	2017
800	2017
801	2017
802	2017
803	2017
804	2017
805	2017
806	2017
807	2017
808	2017
809	2017
810	2017
811	2017
812	2017
813	2017
814	2017
815	2017
816	2017
817	2017
818	2017
819	2017
820	2017
821	2017
822	2017
823	2017
824	2017
825	2017
826	2017
827	2017
828	2017
829	2017
830	2017
831	2017
832	2017
833	2017
834	2017
835	2017
836	2017
837	2017
838	2017
839	2017
840	2017
841	2017
842	2017
843	2017
844	2017
845	2017
846	2017
847	2017
848	2017
849	2017
850	2017
851	2017
852	2017
853	2017
854	2017
855	2017
856	2017
857	2017
858	2017
859	2017
860	2017
861	2017
862	2017
863	2017
864	2017
865	2017
866	2017
867	2017
868	2017
869	2017
870	2017
871	2017
872	2017
873	2017
874	2017
875	2017
876	2017
877	2017
878	2017
879	2017
880	2017
881	2017
882	2017
883	2017
884	2017
885	2017
886	2017
887	2017
888	2017
889	2017
890	2017
891	2017
892	2017
893	2017
894	2017
895	2017
896	2017
897	2017
898	2017
899	2017
900	2017
901	2017
902	2017
903	2017
904	2017
